DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,TRADE_TYPE,HS_SECTION,HS_CHAPTER,COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS,section_number,description,country_name,country_code
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,18,_Z,882,2023,979.53,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Samoa,882
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,20,_Z,208,2017,193132.98,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Denmark,208
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,20,_Z,208,2018,3642696.42,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Denmark,208
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,20,_Z,208,2019,6226746.59,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Denmark,208
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,20,_Z,208,2020,822323.13,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Denmark,208
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,20,_Z,208,2021,1909146.63,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Denmark,208
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,20,_Z,208,2022,2378061.56,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Denmark,208
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,20,_Z,208,2023,3416172.69,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Denmark,208
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,20,_Z,208,2024,518895.93,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Denmark,208
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,4,_Z,36,2017,20398238.02,,,,0,4,PREPARED FOODSTUFFS; BEVERAGES SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,Australia,36
