DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,TRADE_TYPE,HS_SECTION,HS_CHAPTER,COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS,section_number,description,country_name,country_code
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,18,_Z,882,2019,0.0,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Samoa,882
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,18,_Z,882,2021,412642.3,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Samoa,882
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,18,_Z,882,2022,0.0,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Samoa,882
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,18,_Z,882,2023,0.0,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Samoa,882
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,20,_Z,686,2017,41183.8,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Senegal,686
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,20,_Z,686,2018,8778.09,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Senegal,686
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,20,_Z,686,2019,7619.72,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Senegal,686
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,20,_Z,686,2020,35786.84,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Senegal,686
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,20,_Z,686,2021,63123.73,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Senegal,686
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,20,_Z,686,2022,41772.19,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Senegal,686
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,20,_Z,686,2023,57678.25,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Senegal,686
